代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
002019,亿帆医药,2022-02-10,17.029,2022-02-25,16.732,29300,-9193.17,-1.8416%,11,到期
600771,广誉远,2022-02-10,30.815,2022-02-24,33.983,16200,50790.25,10.1691%,10,止盈
600845,宝信软件,2022-02-10,26.149,2022-02-15,24.906,7100,-9010.29,-4.8507%,3,止损
603348,文灿股份,2022-02-10,44.802,2022-02-25,47.986,11100,34823.04,6.9988%,11,到期
688116,天奈科技,2022-02-14,88.081,2022-02-18,96.362,5100,41761.63,9.2920%,4,止盈
000739,普洛药业,2022-02-15,24.689,2022-03-02,27.073,600,1414.94,9.5469%,11,止盈
002241,歌尔股份,2022-02-15,40.086,2022-02-18,43.094,12400,36788.55,7.3974%,3,止盈
603501,豪威集团,2022-02-15,168.982,2022-03-02,179.127,1200,11965.07,5.8976%,11,到期
688518,联赢激光,2022-02-16,32.686,2022-03-03,34.043,15200,20113.71,4.0464%,11,到期
688039,当虹科技,2022-02-22,40.87,2022-02-25,38.965,12200,-23739.18,-4.7586%,3,止损
603313,梦百合,2022-03-08,12.786,2022-03-16,11.664,39100,-44357.01,-8.8679%,6,止损
002241,歌尔股份,2022-03-10,37.485,2022-03-14,35.248,13300,-30227.34,-6.0601%,2,止损
002288,ST超华,2022-03-10,6.623,2022-03-16,5.947,75400,-51465.79,-10.3004%,4,止损
300007,汉威科技,2022-03-10,20.38,2022-03-15,19.08,24500,-32326.78,-6.4710%,3,止损
300679,电连技术,2022-03-10,34.788,2022-03-15,31.475,14300,-47851.56,-9.6141%,3,止损
301090,华润材料,2022-03-10,11.435,2022-03-16,10.604,43700,-36797.07,-7.3602%,4,止损
600110,诺德股份,2022-03-10,13.098,2022-03-16,12.195,38100,-34872.63,-6.9848%,4,止损
688608,恒玄科技,2022-03-10,109.623,2022-03-15,95.034,4500,-66107.94,-13.3944%,3,止损
002108,沧州明珠,2022-03-11,5.613,2022-03-16,5.297,89000,-28561.0,-5.7146%,3,止损
002151,北斗星通,2022-03-11,34.32,2022-03-28,33.556,14500,-11569.2,-2.3236%,11,到期
002747,埃斯顿,2022-03-11,19.501,2022-03-16,18.442,25600,-27595.32,-5.5249%,3,止损
003031,中瓷电子,2022-03-11,49.32,2022-03-16,47.21,10100,-21791.05,-4.3724%,3,止损
300656,民德电子,2022-03-11,31.448,2022-03-17,35.194,15800,58671.04,11.8021%,4,止盈
300657,弘信电子,2022-03-11,11.876,2022-03-16,10.935,42100,-40113.31,-8.0190%,3,止损
600916,中国黄金,2022-03-11,11.208,2022-03-15,10.507,44600,-31742.45,-6.3471%,2,止损
601233,桐昆股份,2022-03-11,16.681,2022-03-28,16.705,29900,197.76,0.0396%,11,到期
601777,千里科技,2022-03-11,4.792,2022-03-16,4.508,104300,-30174.0,-6.0336%,3,止损
603129,春风动力,2022-03-11,98.08,2022-03-15,93.164,5000,-25056.22,-5.1068%,2,止损
603309,维力医疗,2022-03-11,11.721,2022-03-21,12.619,2400,2125.58,7.5525%,6,止盈
688299,长阳科技,2022-03-11,20.811,2022-03-16,19.281,24000,-37202.22,-7.4446%,3,止损
300124,汇川技术,2022-03-14,55.369,2022-03-16,50.296,8400,-43055.57,-9.2527%,2,止损
300774,倍杰特,2022-03-15,19.115,2022-03-18,17.896,26100,-32285.97,-6.4683%,3,止损
688618,三旺通信,2022-03-16,19.229,2022-03-22,18.276,26000,-25259.11,-5.0499%,4,止损
000823,超声电子,2022-03-17,10.415,2022-04-01,10.175,48000,-12028.32,-2.4048%,11,到期
000959,首钢股份,2022-03-17,4.89,2022-04-01,4.956,102200,6147.74,1.2294%,11,到期
002125,湘潭电化,2022-03-17,11.747,2022-03-24,13.074,42500,55895.08,11.1904%,5,止盈
002158,汉钟精机,2022-03-17,16.198,2022-04-01,15.702,30800,-15766.52,-3.1587%,11,到期
002340,格林美,2022-03-17,7.885,2022-03-23,8.597,63400,44603.05,8.9178%,4,止盈
300083,创世纪,2022-03-17,12.476,2022-03-28,11.504,40000,-39359.21,-7.8829%,7,止损
600206,有研新材,2022-03-17,13.153,2022-04-01,15.068,38000,72267.58,14.4521%,11,止盈
600219,南山铝业,2022-03-17,3.138,2022-04-01,3.214,159300,11732.13,2.3461%,11,到期
601808,中海油服,2022-03-17,11.963,2022-03-23,12.761,41700,32746.02,6.5609%,4,止盈
603055,台华新材,2022-03-17,10.496,2022-04-01,10.726,47600,10413.84,2.0833%,11,到期
603227,雪峰科技,2022-03-17,5.303,2022-04-01,6.047,500,362.16,13.6340%,11,止盈
603458,勘设股份,2022-03-17,12.408,2022-04-06,11.686,40200,-29510.59,-5.9132%,10,止损
603997,继峰股份,2022-03-17,9.228,2022-03-22,10.188,54100,51426.61,10.2964%,3,止盈
688017,绿的谐波,2022-03-17,76.942,2022-04-01,75.288,5300,-9170.22,-2.2476%,11,到期
688408,中信博,2022-03-17,61.49,2022-03-21,57.613,8100,-31882.43,-6.3980%,2,止损
605376,博迁新材,2022-03-18,46.773,2022-04-01,44.008,9900,-27826.73,-6.0064%,10,止损
605169,洪通燃气,2022-03-21,9.759,2022-04-01,10.683,400,359.51,9.1981%,9,止盈
688196,卓越新能,2022-03-21,59.71,2022-03-25,64.788,8300,41628.66,8.3956%,4,止盈
300048,合康新能,2022-03-22,6.723,2022-03-29,6.327,74300,-29946.62,-5.9918%,5,止损
688232,新点软件,2022-03-28,36.601,2022-04-11,33.946,13600,-36591.43,-7.3473%,8,止损
002080,中材科技,2022-03-31,22.067,2022-04-12,19.696,22600,-54053.83,-10.8332%,6,止损
002473,圣莱退,2022-03-31,10.985,2022-04-06,12.334,45500,60818.96,12.1616%,2,止盈
603986,兆易创新,2022-03-31,142.301,2022-04-07,131.164,3500,-39457.12,-7.9183%,3,止损
000837,秦川机床,2022-04-06,7.944,2022-04-12,7.536,62900,-26133.7,-5.2275%,4,止损
000626,远大控股,2022-04-07,14.467,2022-04-15,12.824,34500,-57176.52,-11.4498%,6,止损
002119,康强电子,2022-04-07,12.306,2022-04-12,11.524,40600,-32229.51,-6.4475%,3,止损
002364,中恒电气,2022-04-07,8.305,2022-04-11,7.717,60200,-35880.53,-7.1729%,2,止损
002576,通达动力,2022-04-07,11.714,2022-04-12,10.573,42600,-49087.4,-9.8320%,3,止损
300523,辰安科技,2022-04-07,21.631,2022-04-12,20.77,23100,-20383.44,-4.0773%,3,止损
301009,可靠股份,2022-04-07,14.857,2022-04-11,13.933,33600,-31543.35,-6.3155%,2,止损
301092,争光股份,2022-04-07,27.347,2022-04-12,24.811,18200,-46631.25,-9.3645%,3,止损
688026,洁特生物,2022-04-07,42.713,2022-04-11,39.165,11700,-41989.87,-8.3980%,2,止损
603260,合盛硅业,2022-04-11,92.534,2022-04-13,85.725,5400,-37250.59,-7.4511%,2,止损
002436,兴森科技,2022-04-13,8.914,2022-04-26,7.716,56000,-67571.3,-13.5289%,9,止损
002886,沃特股份,2022-04-13,17.9,2022-04-22,15.993,27900,-53676.6,-10.7427%,7,止损
300592,华凯易佰,2022-04-13,9.324,2022-04-18,8.999,53600,-17866.12,-3.5732%,3,止损
300808,久量股份,2022-04-13,12.229,2022-04-18,11.707,40800,-21784.59,-4.3639%,3,止损
301080,百普赛斯,2022-04-13,62.157,2022-04-25,55.425,8000,-54324.65,-10.9194%,8,止损
603738,泰晶科技,2022-04-13,15.317,2022-04-26,13.568,32600,-57470.03,-11.5038%,9,止损
605507,国邦医药,2022-04-13,18.311,2022-04-21,16.951,27300,-37626.53,-7.5231%,6,止损
688510,航亚科技,2022-04-13,15.238,2022-04-18,14.253,32800,-32783.28,-6.5561%,3,止损
300577,开润股份,2022-04-15,12.674,2022-04-25,15.26,39400,101339.35,20.2833%,6,止盈
600267,海正药业,2022-04-15,11.614,2022-04-22,10.673,43000,-40948.31,-8.1955%,5,止损
688508,芯朋微,2022-04-15,72.451,2022-04-19,78.626,6900,42082.56,8.4138%,2,止盈
688658,悦康药业,2022-04-15,17.271,2022-04-22,16.275,28900,-29262.56,-5.8599%,5,止损
002906,华阳集团,2022-04-18,30.905,2022-04-26,27.006,16100,-63239.37,-12.7031%,6,止损
300393,中来股份,2022-04-18,12.808,2022-04-20,13.805,39000,38352.06,7.6738%,2,止盈
601137,博威合金,2022-04-18,11.375,2022-04-21,10.064,43900,-58011.14,-11.6116%,3,止损
603348,文灿股份,2022-04-18,30.025,2022-04-20,32.414,16600,39135.51,7.8481%,2,止盈
603982,泉峰汽车,2022-04-18,20.446,2022-04-22,19.006,24400,-35610.64,-7.1344%,4,止损
603997,继峰股份,2022-04-18,7.557,2022-04-26,6.48,66100,-71654.8,-14.3381%,6,止损
688166,博瑞医药,2022-04-18,21.239,2022-04-26,18.579,22900,-61367.8,-12.6114%,6,止损
688390,固德威,2022-04-18,84.384,2022-04-20,91.108,5900,39155.38,7.8607%,2,止盈
