序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
7908,300720,海川智能,2025-03-24,22.236,2025-03-28,20.265,-8.9562%,-8.8651%,4,止损
7909,300721,怡达股份,2024-04-19,9.335,2024-04-30,10.935,17.0219%,17.1390%,7,止盈
7910,300721,怡达股份,2024-05-14,12.676,2024-05-29,13.263,4.5263%,4.6309%,11,到期
7911,300721,怡达股份,2025-04-24,14.927,2025-05-06,13.763,-7.8922%,-7.8000%,5,止损
7912,300722,新余国科,2023-05-24,20.926,2023-06-08,21.336,1.8567%,1.9586%,11,到期
7913,300722,新余国科,2024-05-30,20.533,2024-06-12,22.187,7.9454%,8.0535%,8,止盈
7914,300722,新余国科,2024-10-14,29.135,2024-10-16,32.624,11.8639%,11.9759%,2,止盈
7915,300722,新余国科,2025-07-28,37.649,2025-08-12,39.72,5.3962%,5.5017%,11,到期
7916,300724,捷佳伟创,2024-10-15,61.837,2024-10-17,58.407,-5.6415%,-5.5470%,2,止损
7917,300725,药石科技,2024-10-15,34.489,2024-10-28,37.943,9.9041%,10.0141%,9,止盈
7918,300726,宏达电子,2024-10-15,30.255,2024-10-22,35.962,18.7437%,18.8626%,5,止盈
7919,300726,宏达电子,2025-12-30,49.915,2026-01-16,49.915,-0.0998%,0.0002%,11,到期
7920,300726,宏达电子,2026-06-11,64.172,2026-06-16,78.98,22.9531%,23.0761%,3,止盈
7921,300727,润禾材料,2025-01-02,24.958,2025-01-06,21.997,-11.9537%,-11.8656%,2,止损
7922,300727,润禾材料,2025-08-22,37.689,2025-09-08,39.68,5.1783%,5.2836%,11,止盈
7923,300730,科创信息,2022-11-04,14.112,2022-11-21,13.528,-4.2329%,-4.1370%,11,到期
7924,300730,科创信息,2024-03-08,10.545,2024-03-14,11.544,9.3636%,9.4730%,4,止盈
7925,300730,科创信息,2024-07-08,10.385,2024-07-18,9.355,-10.0068%,-9.9167%,8,止损
7926,300730,科创信息,2024-10-14,13.397,2024-10-22,14.703,9.6386%,9.7483%,6,止盈
7927,300730,科创信息,2025-03-04,13.867,2025-03-19,14.693,5.8487%,5.9546%,11,到期
7928,300730,科创信息,2025-07-03,14.807,2025-07-18,15.102,1.8906%,1.9926%,11,到期
7929,300731,科创新源,2022-07-01,17.645,2022-07-06,15.906,-9.9444%,-9.8543%,3,止损
7930,300731,科创新源,2023-09-19,15.151,2023-09-21,13.979,-7.8251%,-7.7328%,2,止损
7931,300731,科创新源,2024-11-01,16.351,2024-11-15,15.299,-6.5263%,-6.4327%,10,止损
7932,300731,科创新源,2026-02-06,43.908,2026-03-02,50.925,15.8643%,15.9802%,10,止盈
7933,300733,西菱动力,2024-08-05,8.166,2024-08-20,7.881,-3.5868%,-3.4903%,11,到期
7934,300735,光弘科技,2026-06-25,22.361,2026-07-10,21.959,-1.8967%,-1.7985%,11,到期
7935,300739,明阳电路,2026-03-05,28.364,2026-03-18,26.527,-6.5715%,-6.4780%,9,止损
7936,300740,水羊股份,2026-07-09,19.42,2026-07-20,17.551,-9.7119%,-9.6216%,7,止损
7937,300742,越博退,2021-12-09,22.0,2021-12-24,23.282,5.7231%,5.8289%,11,到期
7938,300742,越博退,2024-01-03,6.603,2024-01-05,8.076,22.1796%,22.3019%,2,止盈
7939,300743,天地数码,2022-03-23,11.899,2022-03-29,10.898,-8.5074%,-8.4159%,4,止损
7940,300745,欣锐科技,2021-11-19,64.502,2021-11-24,69.025,6.9055%,7.0125%,3,止盈
7941,300745,欣锐科技,2024-06-05,16.788,2024-06-07,15.042,-10.4891%,-10.3995%,2,止损
7942,300745,欣锐科技,2025-06-18,19.17,2025-06-23,17.511,-8.7422%,-8.6509%,3,止损
7943,300746,汉嘉数智,2021-09-09,14.554,2021-09-16,19.097,31.0842%,31.2154%,5,止盈
7944,300746,汉嘉数智,2021-09-24,16.545,2021-10-11,15.579,-5.9330%,-5.8389%,6,止损
7945,300746,汉嘉数智,2022-02-23,16.095,2022-03-07,14.31,-11.1805%,-11.0916%,8,止损
7946,300746,汉嘉数智,2025-03-06,14.067,2025-03-12,15.882,12.7898%,12.9027%,4,止盈
7947,300749,顶固集创,2022-03-29,8.434,2022-04-15,8.366,-0.9101%,-0.8110%,11,到期
7948,300749,顶固集创,2025-12-12,11.356,2025-12-17,10.565,-7.0583%,-6.9653%,3,止损
7949,300751,迈为股份,2024-01-05,117.577,2024-01-22,115.61,-1.7709%,-1.6726%,11,到期
7950,300752,隆利科技,2022-10-24,14.843,2022-10-31,13.072,-12.0190%,-11.9309%,5,止损
7951,300753,爱朋医疗,2023-06-06,19.23,2023-06-21,18.761,-2.5365%,-2.4389%,11,到期
7952,300753,爱朋医疗,2024-12-25,19.645,2025-01-02,17.916,-8.8914%,-8.8002%,5,止损
7953,300753,爱朋医疗,2025-06-24,29.105,2025-07-01,31.964,9.7150%,9.8248%,5,止盈
7954,300753,爱朋医疗,2026-01-15,37.018,2026-01-22,34.593,-6.6464%,-6.5530%,5,止损
7955,300757,罗博特科,2024-08-05,86.895,2024-08-15,80.802,-7.1058%,-7.0129%,8,止损
7956,300758,七彩化学,2024-04-11,9.101,2024-04-16,8.352,-8.3190%,-8.2273%,3,止损
7957,300759,康龙化成,2024-10-15,28.094,2024-10-17,25.667,-8.7298%,-8.6384%,2,止损
7958,300762,上海瀚讯,2024-11-15,27.424,2024-11-25,25.567,-6.8629%,-6.7697%,6,止损
7959,300765,石药创新,2023-09-06,10.796,2023-09-15,12.294,13.7561%,13.8699%,7,止盈
7960,300766,每日互动,2021-12-07,16.14,2021-12-22,15.994,-1.0041%,-0.9050%,11,到期
7961,300766,每日互动,2024-05-17,12.056,2024-05-27,11.244,-6.8256%,-6.7323%,6,止损
7962,300766,每日互动,2024-10-14,13.507,2024-10-22,15.362,13.6243%,13.7381%,6,止盈
7963,300766,每日互动,2026-01-19,42.311,2026-02-03,43.878,3.5996%,3.7033%,11,到期
7964,300767,震安科技,2024-09-03,8.604,2024-09-18,8.006,-7.0466%,-6.9536%,9,止损
7965,300768,迪普科技,2024-11-04,20.152,2024-11-12,22.261,10.3540%,10.4644%,6,止盈
7966,300769,德方纳米,2024-10-15,39.32,2024-10-18,36.432,-7.4372%,-7.3446%,3,止损
7967,300771,智莱科技,2021-12-20,12.805,2021-12-27,11.813,-7.8414%,-7.7491%,5,止损
7968,300771,智莱科技,2024-07-30,9.872,2024-08-05,8.993,-8.9995%,-8.9084%,4,止损
7969,300772,运达股份,2025-06-23,11.976,2025-07-08,12.564,4.8027%,4.9076%,11,到期
7970,300773,拉卡拉,2025-04-29,15.837,2025-05-06,14.614,-7.8161%,-7.7239%,2,止损
7971,300773,拉卡拉,2026-01-21,19.231,2026-02-05,19.269,0.1013%,0.2015%,11,到期
7972,300775,三角防务,2025-11-13,29.045,2025-11-28,27.956,-3.8439%,-3.7477%,11,到期
7973,300776,帝尔激光,2024-05-24,52.93,2024-05-31,49.878,-5.8610%,-5.7668%,5,止损
7974,300776,帝尔激光,2024-10-14,63.245,2024-10-17,58.004,-8.3780%,-8.2863%,3,止损
7975,300778,新城市,2022-05-09,13.069,2022-05-11,16.246,24.1886%,24.3129%,2,止盈
7976,300778,新城市,2023-03-16,18.4,2023-03-21,16.479,-10.5320%,-10.4425%,3,止损
7977,300778,新城市,2024-04-10,11.596,2024-04-16,9.865,-15.0105%,-14.9255%,4,止损
7978,300778,新城市,2024-10-14,11.766,2024-10-17,13.203,12.1055%,12.2177%,3,止盈
7979,300778,新城市,2025-07-17,16.608,2025-08-01,15.242,-8.3161%,-8.2244%,11,止损
7980,300779,惠城环保,2026-06-01,59.455,2026-06-09,53.868,-9.4871%,-9.3965%,6,止损
7981,300779,惠城环保,2026-07-10,57.028,2026-07-14,54.573,-4.4019%,-4.3063%,2,止损
7982,300780,德恩精工,2023-07-14,18.359,2023-07-20,17.081,-7.0526%,-6.9596%,4,止损
7983,300780,德恩精工,2023-10-12,27.504,2023-10-16,25.537,-7.2428%,-7.1500%,2,止损
7984,300780,德恩精工,2025-08-15,19.74,2025-09-01,17.891,-9.4565%,-9.3659%,11,止损
7985,300780,德恩精工,2026-01-29,27.024,2026-02-02,29.985,10.8480%,10.9590%,2,止盈
7986,300781,因赛集团,2022-05-23,11.946,2022-05-26,13.443,12.4215%,12.5340%,3,止盈
7987,300781,因赛集团,2024-10-11,34.95,2024-10-18,38.538,10.1536%,10.2638%,5,止盈
7988,300781,因赛集团,2024-11-05,46.547,2024-11-19,41.301,-11.3588%,-11.2701%,10,止损
7989,300781,因赛集团,2026-02-05,46.523,2026-02-26,43.008,-7.6473%,-7.5549%,9,止损
7990,300782,卓胜微,2024-10-15,100.448,2024-10-17,95.85,-4.6730%,-4.5776%,2,止损
7991,300785,值得买,2022-05-11,17.304,2022-05-18,19.321,11.5488%,11.6605%,5,止盈
7992,300785,值得买,2024-11-20,27.346,2024-11-25,30.697,12.1419%,12.2541%,3,止盈
7993,300785,值得买,2026-01-20,66.235,2026-01-22,59.642,-10.0439%,-9.9538%,2,止损
7994,300786,国林科技,2021-08-20,16.216,2021-08-25,18.227,12.2875%,12.3999%,3,止盈
7995,300786,国林科技,2021-12-07,25.432,2021-12-09,24.335,-4.4087%,-4.3131%,2,止损
7996,300786,国林科技,2024-03-07,12.446,2024-03-19,13.993,12.3153%,12.4277%,8,止盈
7997,300786,国林科技,2024-12-10,17.369,2024-12-18,15.312,-11.9275%,-11.8394%,6,止损
7998,300786,国林科技,2026-07-17,16.498,2026-07-21,13.443,-18.5984%,-18.5169%,2,止损
