日期,权益
2023-03-07,7646444.10
2023-03-08,7684084.97
2023-03-09,7719573.13
2023-03-10,7534219.43
2023-03-13,7536201.83
2023-03-14,7483906.21
2023-03-15,7598264.12
2023-03-16,7403821.04
2023-03-17,7444280.53
2023-03-20,7339743.35
2023-03-21,7296072.46
2023-03-22,7364322.50
2023-03-23,7485112.51
2023-03-24,7433385.69
2023-03-27,7524856.38
2023-03-28,7464869.19
2023-03-29,7458612.30
2023-03-30,7354539.95
2023-03-31,7485934.14
2023-04-03,7722942.94
2023-04-04,7644939.30
2023-04-06,7717006.58
2023-04-07,7858370.15
2023-04-10,7819148.22
2023-04-11,7908556.54
2023-04-12,7987449.70
2023-04-13,7850856.20
2023-04-14,7818675.91
2023-04-17,7666986.10
2023-04-18,7753995.04
2023-04-19,7765764.64
2023-04-20,7810746.88
2023-04-21,7591737.96
2023-04-24,7602564.55
2023-04-25,7644960.25
2023-04-26,7683662.17
2023-04-27,7540732.03
2023-04-28,7590766.50
2023-05-04,7751400.98
2023-05-05,7713991.37
2023-05-08,7591166.50
2023-05-09,7613761.29
2023-05-10,7484915.45
2023-05-11,7444523.01
2023-05-12,7442561.14
2023-05-15,7428955.50
2023-05-16,7359557.43
2023-05-17,7336002.23
2023-05-18,7296370.45
2023-05-19,7243384.67
2023-05-22,7280460.69
2023-05-23,7316972.80
2023-05-24,7401510.93
2023-05-25,7423505.59
2023-05-26,7353620.56
2023-05-29,7415759.38
2023-05-30,7449682.58
2023-05-31,7286919.52
2023-06-01,7260025.94
2023-06-02,7168998.46
2023-06-05,7232356.93
2023-06-06,7095582.29
2023-06-07,7185091.76
2023-06-08,7231043.93
2023-06-09,7255763.73
2023-06-12,7284454.25
2023-06-13,7255448.64
2023-06-14,7201597.95
2023-06-15,7073711.22
2023-06-16,7024614.14
2023-06-19,7025359.91
2023-06-20,6967108.32
2023-06-21,6885162.20
2023-06-26,6782030.60
2023-06-27,6774274.50
2023-06-28,6755004.11
2023-06-29,6939913.60
2023-06-30,6983553.28
2023-07-03,6962306.28
2023-07-04,7032400.86
2023-07-05,7055498.86
2023-07-06,7144361.94
2023-07-07,6959285.55
2023-07-10,6961402.69
2023-07-11,7172065.22
2023-07-12,7260396.09
2023-07-13,7312380.26
2023-07-14,7106765.64
2023-07-17,7014007.59
2023-07-18,6935257.80
2023-07-19,6953895.37
2023-07-20,6807490.62
2023-07-21,6740011.67
2023-07-24,6710717.85
2023-07-25,6721989.72
2023-07-26,6799638.72
2023-07-27,6620922.24
2023-07-28,6843811.72
2023-07-31,7022998.29
2023-08-01,7011685.84
2023-08-02,6970954.34
2023-08-03,7058980.77
2023-08-04,7054882.34
2023-08-07,7070615.79
2023-08-08,6936894.92
2023-08-09,6833043.09
2023-08-10,6935524.14
2023-08-11,6581139.03
2023-08-14,6471921.42
2023-08-15,6618777.46
2023-08-16,6497306.44
2023-08-17,6460626.71
2023-08-18,6245795.79
2023-08-21,6217876.25
2023-08-22,6140994.41
2023-08-23,6090331.57
2023-08-24,6076852.57
2023-08-25,6026887.37
2023-08-28,6045835.19
2023-08-29,6045835.19
2023-08-30,6045835.19
2023-08-31,6045835.19
2023-09-01,6045835.19
2023-09-04,6045335.70
2023-09-05,6036830.70
2023-09-06,5981603.45
2023-09-07,5946927.63
2023-09-08,5865219.25
2023-09-11,5900306.98
2023-09-12,5922020.19
2023-09-13,6012121.41
2023-09-14,6135644.02
2023-09-15,6213221.31
2023-09-18,6127586.07
2023-09-19,5905569.16
2023-09-20,5742671.46
2023-09-21,5739093.49
2023-09-22,5822357.37
