日期,权益
2022-09-16,8773967.80
2022-09-19,8732867.29
2022-09-20,8740651.74
2022-09-21,8754206.88
2022-09-22,8732564.23
2022-09-23,8546210.23
2022-09-26,8353421.42
2022-09-27,8483607.32
2022-09-28,8247280.71
2022-09-29,8223900.86
2022-09-30,8127247.73
2022-10-10,8005849.18
2022-10-11,8019001.62
2022-10-12,8098722.84
2022-10-13,8134859.81
2022-10-14,8236964.23
2022-10-17,8355094.43
2022-10-18,8394456.42
2022-10-19,8315118.52
2022-10-20,8287886.52
2022-10-21,8358171.42
2022-10-24,8296919.89
2022-10-25,8321712.30
2022-10-26,8348555.39
2022-10-27,8319710.49
2022-10-28,8293041.06
2022-10-31,8232956.74
2022-11-01,8405821.49
2022-11-02,8599156.13
2022-11-03,8644024.57
2022-11-04,8789484.34
2022-11-07,8854108.45
2022-11-08,8822609.98
2022-11-09,8852553.18
2022-11-10,8842284.88
2022-11-11,8987208.43
2022-11-14,9012849.92
2022-11-15,9071422.27
2022-11-16,9049610.78
2022-11-17,9045197.26
2022-11-18,9029485.26
2022-11-21,9035080.26
2022-11-22,9005934.26
2022-11-23,8984447.56
2022-11-24,8983987.40
2022-11-25,8983987.40
2022-11-28,8982728.22
2022-11-29,9074261.63
2022-11-30,9093852.08
2022-12-01,9144295.68
2022-12-02,9178452.68
2022-12-05,9188255.20
2022-12-06,9160400.33
2022-12-07,9180484.93
2022-12-08,9169956.36
2022-12-09,9137638.39
2022-12-12,9135787.27
2022-12-13,9069713.51
2022-12-14,9055292.48
2022-12-15,9072708.40
2022-12-16,9015856.20
2022-12-19,8953777.77
2022-12-20,8973830.40
2022-12-21,8854440.39
2022-12-22,8682538.44
2022-12-23,8661796.83
2022-12-26,8779922.44
2022-12-27,8770614.64
2022-12-28,8672409.44
2022-12-29,8665640.24
2022-12-30,8667406.14
2023-01-03,8890461.94
2023-01-04,8993566.54
2023-01-05,9015810.89
2023-01-06,9056301.13
2023-01-09,9070948.18
2023-01-10,9058995.54
2023-01-11,9049104.92
2023-01-12,9049232.92
2023-01-13,9050361.38
2023-01-16,9071622.46
2023-01-17,9074925.66
2023-01-18,9068353.52
2023-01-19,9099370.69
2023-01-20,9128038.73
2023-01-30,9128139.81
2023-01-31,9167378.83
2023-02-01,9242533.22
2023-02-02,9292696.93
2023-02-03,9216474.31
2023-02-06,9171280.73
2023-02-07,9160060.14
2023-02-08,9129153.04
2023-02-09,9157737.04
2023-02-10,9143311.24
2023-02-13,9220322.04
2023-02-14,9206858.31
2023-02-15,9187375.67
2023-02-16,9185294.67
2023-02-17,9144683.67
2023-02-20,9161149.75
2023-02-21,9139489.75
2023-02-22,9116407.04
2023-02-23,9116613.39
2023-02-24,9090627.21
2023-02-27,9083315.56
2023-02-28,9083742.33
2023-03-01,9076759.77
2023-03-02,8957151.43
2023-03-03,8926221.63
2023-03-06,8955237.56
2023-03-07,8832504.14
2023-03-08,8854661.01
2023-03-09,8878253.32
2023-03-10,8785925.02
2023-03-13,8729287.38
2023-03-14,8651204.09
2023-03-15,8673421.09
2023-03-16,8485065.64
2023-03-17,8458508.08
2023-03-20,8511804.93
2023-03-21,8642543.24
2023-03-22,8636834.94
2023-03-23,8579738.94
2023-03-24,8574948.58
2023-03-27,8541581.82
2023-03-28,8557404.19
2023-03-29,8506975.26
2023-03-30,8492265.76
2023-03-31,8519065.35
2023-04-03,8638845.29
2023-04-04,8577945.98
2023-04-06,8559232.15
2023-04-07,8622550.11
2023-04-10,8561954.71
2023-04-11,8585663.61
2023-04-12,8610693.46
2023-04-13,8581970.10
2023-04-14,8656152.80
2023-04-17,8762743.88
2023-04-18,8785198.23
2023-04-19,8729606.23
2023-04-20,8639390.20
2023-04-21,8590707.06
2023-04-24,8527705.14
2023-04-25,8463473.79
2023-04-26,8489521.83
2023-04-27,8518227.19
2023-04-28,8604797.44
2023-05-04,8605875.74
2023-05-05,8490521.47
2023-05-08,8517027.82
2023-05-09,8408699.72
2023-05-10,8404999.14
2023-05-11,8399453.64
2023-05-12,8329520.35
2023-05-15,8368705.18
2023-05-16,8400641.31
2023-05-17,8456716.97
2023-05-18,8541737.07
2023-05-19,8705171.59
2023-05-22,8739165.47
2023-05-23,8615003.38
2023-05-24,8572049.68
2023-05-25,8567516.93
2023-05-26,8563545.34
2023-05-29,8503968.65
2023-05-30,8629846.48
2023-05-31,8588377.89
2023-06-01,8588223.08
2023-06-02,8803652.36
2023-06-05,8819024.38
2023-06-06,8737936.37
2023-06-07,8733877.45
2023-06-08,8829920.85
2023-06-09,8807786.70
2023-06-12,8832291.78
2023-06-13,8823632.88
2023-06-14,8887408.62
2023-06-15,8989751.12
2023-06-16,9055041.94
2023-06-19,9029617.74
2023-06-20,9045735.54
2023-06-21,8947808.48
2023-06-26,8876541.34
2023-06-27,9012356.67
2023-06-28,9017810.66
2023-06-29,9072615.45
2023-06-30,9159605.21
2023-07-03,9174416.62
2023-07-04,9165402.33
2023-07-05,9084602.43
2023-07-06,9052642.93
2023-07-07,9037337.03
2023-07-10,9242156.71
2023-07-11,9222374.56
2023-07-12,9140234.90
2023-07-13,9216457.73
2023-07-14,9260613.99
2023-07-17,9209616.07
2023-07-18,9181342.84
2023-07-19,9148902.61
2023-07-20,9098971.62
2023-07-21,9123104.16
2023-07-24,9169269.60
2023-07-25,9237649.28
2023-07-26,9169220.08
2023-07-27,9084572.69
2023-07-28,9139912.88
2023-07-31,9167379.22
2023-08-01,9043447.52
2023-08-02,9016957.83
2023-08-03,9016200.50
2023-08-04,9049480.51
2023-08-07,9058139.91
2023-08-08,8986355.19
2023-08-09,8867002.25
2023-08-10,8905492.40
2023-08-11,8761192.72
2023-08-14,8827320.56
2023-08-15,8718091.30
2023-08-16,8585241.08
2023-08-17,8718865.07
2023-08-18,8767777.15
2023-08-21,8721745.57
2023-08-22,8684292.85
2023-08-23,8513026.31
2023-08-24,8599538.02
2023-08-25,8564604.77
2023-08-28,8558818.80
2023-08-29,8858178.58
2023-08-30,8949829.61
2023-08-31,8903709.88
2023-09-01,8862991.91
2023-09-04,8966265.04
2023-09-05,8973098.90
2023-09-06,8935214.84
2023-09-07,8763450.69
2023-09-08,8719164.27
2023-09-11,8776275.48
2023-09-12,8796462.08
