序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
11958,688567,孚能科技,2025-09-02,19.76,2025-09-16,19.83,0.2550%,0.3553%,10,信号
11959,688568,中科星图,2023-03-27,23.884,2023-03-31,23.058,-3.5527%,-3.4562%,4,信号
11960,688568,中科星图,2024-11-06,36.429,2024-11-20,39.143,7.3432%,7.4507%,10,信号
11961,688568,中科星图,2025-08-25,41.879,2025-09-05,40.918,-2.3933%,-2.2957%,9,信号
11962,688569,铁科轨道,2023-03-06,18.579,2023-03-27,22.319,20.0074%,20.1275%,15,信号
11963,688569,铁科轨道,2023-04-18,27.144,2023-05-12,36.062,32.7236%,32.8564%,15,信号
11964,688569,铁科轨道,2023-07-31,45.033,2023-08-09,36.302,-19.4681%,-19.3875%,7,止损
11965,688569,铁科轨道,2024-01-26,26.823,2024-02-01,23.948,-10.8089%,-10.7197%,4,止损
11966,688569,铁科轨道,2025-08-11,25.193,2025-08-15,22.519,-10.7030%,-10.6137%,4,止损
11967,688570,天玛智控,2023-11-15,28.684,2023-11-23,26.817,-6.6049%,-6.5114%,6,信号
11968,688570,天玛智控,2026-05-26,18.139,2026-05-28,16.542,-8.8972%,-8.8061%,2,止损
11969,688571,杭华股份,2022-08-09,5.233,2022-08-23,5.104,-2.5469%,-2.4494%,10,信号
11970,688571,杭华股份,2024-12-24,7.459,2024-12-26,6.812,-8.7675%,-8.6762%,2,止损
11971,688571,杭华股份,2025-08-06,8.645,2025-08-15,8.497,-1.8168%,-1.7185%,7,信号
11972,688571,杭华股份,2026-07-02,10.495,2026-07-09,9.445,-10.0942%,-10.0042%,5,止损
11973,688575,亚辉龙,2021-12-21,27.346,2021-12-23,22.135,-19.1360%,-19.0551%,2,止损
11974,688575,亚辉龙,2022-03-14,35.921,2022-03-16,32.151,-10.5848%,-10.4954%,2,止损
11975,688575,亚辉龙,2023-07-06,18.985,2023-07-17,18.057,-4.9858%,-4.8907%,7,信号
11976,688575,亚辉龙,2023-10-30,20.246,2023-11-17,22.325,10.1570%,10.2672%,14,信号
11977,688575,亚辉龙,2024-10-08,27.783,2024-10-10,21.618,-22.2666%,-22.1888%,2,止损
11978,688577,浙海德曼,2021-08-24,26.152,2021-08-26,23.121,-11.6769%,-11.5885%,2,止损
11979,688577,浙海德曼,2023-10-13,16.162,2023-10-24,13.355,-17.4489%,-17.3663%,7,止损
11980,688578,艾力斯,2023-04-10,25.913,2023-04-28,26.937,3.8461%,3.9501%,14,信号
11981,688578,艾力斯,2024-04-29,56.978,2024-05-17,57.371,0.5888%,0.6894%,11,信号
11982,688578,艾力斯,2025-07-29,101.03,2025-08-01,96.152,-4.9240%,-4.8288%,3,信号
11983,688579,地纬智能,2022-12-02,10.46,2022-12-20,10.7,2.1866%,2.2889%,12,信号
11984,688579,地纬智能,2025-08-19,13.537,2025-09-03,12.404,-8.4612%,-8.3696%,11,止损
