序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
329,000795,英洛华,2021-11-26,7.724,2021-12-01,9.385,21.3891%,21.5106%,3,信号
330,000795,英洛华,2024-11-07,11.691,2024-11-12,12.499,6.8037%,6.9106%,3,信号
331,000796,凯撒旅业,2022-02-15,11.083,2022-02-17,9.685,-12.6962%,-12.6089%,2,信号
332,000797,中国武夷,2022-04-08,5.423,2022-04-12,4.588,-15.4829%,-15.3983%,2,信号
333,000797,中国武夷,2022-12-01,5.133,2022-12-05,4.158,-19.0704%,-18.9894%,2,信号
334,000798,中水渔业,2025-11-20,13.727,2025-11-26,13.443,-2.1638%,-2.0659%,4,信号
335,000799,酒鬼酒,2024-10-08,55.988,2024-10-10,54.623,-2.5361%,-2.4386%,2,信号
336,000801,四川九洲,2024-11-21,17.599,2024-11-27,17.231,-2.1856%,-2.0877%,4,信号
337,000802,北京文化,2023-06-08,9.605,2023-06-12,8.026,-16.5213%,-16.4378%,2,信号
338,000802,北京文化,2026-08-13,6.263,2026-08-14,5.92,-5.5731%,-5.4786%,1,区间结束平仓
339,000810,创维数字,2024-08-20,10.296,2024-08-22,9.726,-5.6306%,-5.5362%,2,信号
340,000811,冰轮环境,2026-06-23,45.053,2026-06-25,50.895,12.8542%,12.9671%,2,信号
341,000812,陕西金叶,2021-11-26,4.554,2021-12-01,5.439,19.3130%,19.4324%,3,信号
342,000812,陕西金叶,2021-12-16,10.207,2021-12-22,10.947,7.1370%,7.2442%,4,信号
343,000813,德展健康,2022-10-24,4.832,2022-10-26,3.388,-29.9539%,-29.8838%,2,信号
344,000813,德展健康,2024-12-11,4.022,2024-12-17,4.558,13.2062%,13.3195%,4,信号
345,000815,美利云,2021-09-01,7.944,2021-09-03,8.006,0.6800%,0.7808%,2,信号
346,000815,美利云,2022-02-28,12.156,2022-03-02,13.493,10.8891%,11.0001%,2,信号
347,000815,美利云,2022-11-18,14.507,2022-11-22,15.292,5.3064%,5.4118%,2,信号
348,000815,美利云,2024-02-27,9.165,2024-02-29,8.376,-8.6981%,-8.6067%,2,信号
349,000815,美利云,2026-03-10,19.02,2026-03-12,17.611,-7.4972%,-7.4046%,2,信号
350,000815,美利云,2026-07-23,16.478,2026-07-27,16.202,-1.7753%,-1.6770%,2,信号
351,000815,美利云,2026-08-05,19.009,2026-08-07,18.031,-5.2424%,-5.1475%,2,信号
352,000816,智慧农业,2021-09-13,4.422,2021-09-15,4.278,-3.3609%,-3.2642%,2,信号
353,000816,智慧农业,2024-07-15,1.841,2024-07-17,1.799,-2.3694%,-2.2717%,2,信号
354,000818,航锦科技,2025-02-07,22.161,2025-02-13,27.666,24.7164%,24.8412%,4,信号
355,000820,神雾节能,2022-08-23,5.693,2022-08-26,5.857,2.7819%,2.8848%,3,信号
356,000820,神雾节能,2024-01-05,5.493,2024-01-09,4.118,-25.1044%,-25.0295%,2,信号
357,000820,神雾节能,2026-08-04,3.802,2026-08-06,3.928,3.2144%,3.3177%,2,信号
358,000821,ST京机,2022-06-27,21.032,2022-06-30,20.301,-3.5707%,-3.4741%,3,信号
359,000823,超声电子,2026-06-29,28.684,2026-07-01,25.637,-10.7124%,-10.6231%,2,信号
360,000826,ST启环,2022-07-27,4.422,2022-07-29,4.098,-7.4252%,-7.3325%,2,信号
361,000826,ST启环,2023-08-22,5.073,2023-08-24,4.608,-9.2547%,-9.1639%,2,信号
362,000826,ST启环,2024-11-12,3.172,2024-11-14,2.719,-14.3670%,-14.2813%,2,信号
363,000828,东莞控股,2023-11-09,11.511,2023-11-13,12.319,6.9133%,7.0203%,2,信号
364,000831,中国稀土,2024-02-19,26.804,2024-02-21,27.657,3.0783%,3.1815%,2,信号
365,000833,粤桂股份,2024-11-15,10.843,2024-11-27,16.25,49.7095%,49.8593%,8,信号
366,000837,秦川机床,2022-08-01,12.256,2022-08-04,12.234,-0.2813%,-0.1815%,3,信号
367,000838,ST发展,2021-11-29,4.802,2021-12-02,4.698,-2.2790%,-2.1812%,3,信号
368,000838,ST发展,2021-12-15,6.293,2021-12-17,6.977,10.7480%,10.8589%,2,信号
369,000838,ST发展,2021-12-22,9.975,2021-12-24,7.866,-21.2209%,-21.1421%,2,信号
370,000838,ST发展,2022-05-16,9.305,2022-05-18,7.606,-18.3356%,-18.2538%,2,信号
371,000839,国安股份,2022-04-29,3.452,2022-05-09,2.799,-19.0028%,-18.9217%,2,信号
372,000851,ST高鸿,2022-10-14,5.433,2022-10-18,5.277,-2.9567%,-2.8596%,2,信号
373,000851,ST高鸿,2023-09-13,6.993,2023-09-15,6.497,-7.1958%,-7.1030%,2,信号
374,000852,石化机械,2021-09-09,7.704,2021-09-13,7.296,-5.3842%,-5.2896%,2,信号
375,000852,石化机械,2025-10-23,9.345,2025-10-27,7.686,-17.8305%,-17.7482%,2,信号
376,000856,冀东装备,2022-02-11,12.586,2022-02-16,12.164,-3.4525%,-3.3558%,3,信号
377,000856,冀东装备,2025-01-23,9.735,2025-02-06,10.265,5.3389%,5.4443%,4,信号
378,000856,冀东装备,2025-02-20,14.857,2025-02-24,14.843,-0.1998%,-0.1000%,2,信号
379,000858,五粮液,2024-10-08,167.943,2024-10-10,136.701,-18.6843%,-18.6029%,2,信号
380,000859,国风新材,2024-06-14,4.582,2024-06-18,3.698,-19.3754%,-19.2947%,2,信号
381,000859,国风新材,2024-09-04,4.182,2024-09-06,3.438,-17.8678%,-17.7856%,2,信号
382,000859,国风新材,2024-10-21,5.803,2024-10-23,5.297,-8.8033%,-8.7120%,2,信号
383,000859,国风新材,2024-12-19,8.384,2024-12-23,6.207,-26.0431%,-25.9691%,2,信号
384,000859,国风新材,2025-11-24,8.764,2025-11-26,9.135,4.1294%,4.2336%,2,信号
385,000862,银星能源,2021-12-28,9.865,2021-12-30,8.656,-12.3459%,-12.2582%,2,信号
386,000863,三湘印象,2021-12-24,4.336,2021-12-28,3.432,-20.9244%,-20.8452%,2,信号
387,000863,三湘印象,2022-11-16,5.853,2022-11-18,5.837,-0.3704%,-0.2707%,2,信号
388,000863,三湘印象,2023-11-23,5.303,2023-11-27,4.428,-16.5821%,-16.4986%,2,信号
389,000868,安凯客车,2022-06-07,6.203,2022-06-09,5.697,-8.2482%,-8.1564%,2,信号
390,000868,安凯客车,2022-06-27,7.024,2022-06-30,6.807,-3.1853%,-3.0884%,3,信号
391,000880,潍柴重机,2021-09-29,6.799,2021-10-08,6.479,-4.8110%,-4.7157%,2,信号
