序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1917,601633,长城汽车,2023-08-18,25.243,2023-08-24,24.048,-4.8279%,-4.7327%,4,止损
1918,601633,长城汽车,2026-06-01,16.538,2026-06-16,17.321,4.6302%,4.7349%,11,到期
1919,601636,旗滨集团,2023-09-19,7.803,2023-10-12,7.615,-2.5032%,-2.4056%,11,到期
1920,601636,旗滨集团,2026-03-26,5.853,2026-04-07,5.527,-5.6590%,-5.5646%,7,止损
1921,601636,旗滨集团,2026-07-15,6.743,2026-07-17,6.077,-9.9725%,-9.8824%,2,止损
1922,601688,华泰证券,2026-03-09,20.04,2026-03-23,18.771,-6.4280%,-6.3344%,10,止损
1923,601689,拓普集团,2023-03-14,36.237,2023-03-29,41.267,13.7676%,13.8815%,11,止盈
1924,601689,拓普集团,2024-07-10,38.213,2024-07-25,33.784,-11.6786%,-11.5903%,11,止损
1925,601777,千里科技,2022-03-11,4.792,2022-03-16,4.508,-6.0337%,-5.9396%,3,止损
1926,601788,光大证券,2026-04-29,14.717,2026-05-19,14.803,0.4786%,0.5792%,11,到期
1927,601799,星宇股份,2022-01-10,188.236,2022-01-20,177.623,-5.7324%,-5.6381%,8,止损
1928,601799,星宇股份,2022-10-28,124.524,2022-11-01,116.684,-6.3901%,-6.2964%,2,止损
1929,601799,星宇股份,2023-03-15,126.385,2023-03-20,118.073,-6.6703%,-6.5769%,3,止损
1930,601800,中国交建,2025-05-29,8.397,2025-06-16,8.489,0.9893%,1.0903%,11,到期
1931,601801,皖新传媒,2025-03-07,6.493,2025-03-24,6.397,-1.5838%,-1.4853%,11,到期
1932,601808,中海油服,2022-03-17,11.963,2022-03-23,12.761,6.5609%,6.6676%,4,止盈
1933,601808,中海油服,2026-05-20,13.975,2026-05-26,13.271,-5.1298%,-5.0349%,4,止损
1934,601857,中国石油,2021-11-12,2.932,2021-11-29,2.76,-5.9883%,-5.8942%,11,到期
1935,601858,中国科传,2023-12-28,22.971,2024-01-11,21.029,-8.5455%,-8.4540%,9,止损
1936,601858,中国科传,2024-06-27,18.439,2024-07-09,17.331,-6.1023%,-6.0083%,8,止损
1937,601858,中国科传,2026-05-29,25.317,2026-06-04,23.482,-7.3386%,-7.2458%,4,止损
1938,601865,福莱特,2024-02-07,18.029,2024-02-23,19.73,9.3261%,9.4355%,6,止盈
1939,601865,福莱特,2024-07-11,17.849,2024-07-26,18.691,4.6112%,4.7159%,11,到期
1940,601869,长飞光纤,2023-10-27,30.643,2023-11-02,28.314,-7.6943%,-7.6019%,4,止损
