序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1662,300072,海新能科,2025-06-25,3.602,2025-07-03,3.458,-4.0809%,-3.9850%,6,信号
1663,300075,数字政通,2021-12-30,14.187,2022-01-12,14.531,2.3198%,2.4222%,8,信号
1664,300076,ST宁视,2024-01-10,6.743,2024-01-15,5.707,-15.4512%,-15.3666%,3,信号
1665,300077,国民技术,2024-07-24,11.106,2024-08-05,10.525,-5.3247%,-5.2300%,8,信号
1666,300078,思创智联,2025-11-20,4.772,2025-12-01,4.518,-5.4304%,-5.3358%,7,信号
1667,300082,奥克股份,2024-04-08,6.373,2024-04-12,5.627,-11.7936%,-11.7053%,4,信号
1668,300084,海默科技,2026-03-04,13.837,2026-03-09,12.904,-6.8387%,-6.7455%,3,信号
1669,300086,康芝药业,2021-12-29,6.613,2022-01-10,7.276,9.9161%,10.0261%,7,信号
1670,300086,康芝药业,2025-03-18,5.503,2025-03-25,5.067,-8.0024%,-7.9103%,5,信号
1671,300092,科新机电,2025-09-04,18.939,2025-09-15,17.941,-5.3664%,-5.2717%,7,信号
1672,300094,国联水产,2025-07-04,4.042,2025-07-14,3.928,-2.9172%,-2.8200%,6,信号
1673,300096,ST易联众,2025-08-27,5.923,2025-09-19,6.357,7.2178%,7.3251%,17,信号
1674,300102,乾照光电,2025-11-11,14.378,2025-11-20,13.944,-3.1165%,-3.0196%,7,信号
1675,300103,达刚控股,2025-02-26,7.034,2025-03-11,7.076,0.5100%,0.6106%,9,信号
1676,300106,西部牧业,2023-12-07,10.255,2023-12-19,9.975,-2.8287%,-2.7315%,8,信号
1677,300110,华仁药业,2022-07-27,4.97,2022-08-05,5.165,3.8179%,3.9218%,7,信号
1678,300120,经纬辉开,2023-04-18,8.204,2023-04-24,7.536,-8.2325%,-8.1407%,4,信号
1679,300122,智飞生物,2025-07-28,23.652,2025-08-07,23.478,-0.8331%,-0.7338%,8,信号
1680,300123,ST亚光,2023-10-30,9.805,2023-11-08,8.466,-13.7441%,-13.6578%,7,信号
1681,300123,ST亚光,2025-11-21,6.803,2025-11-28,6.627,-2.6948%,-2.5975%,5,信号
1682,300127,银河磁体,2023-07-07,20.84,2023-07-18,19.63,-5.9013%,-5.8072%,7,信号
1683,300128,锦富技术,2023-07-07,5.333,2023-07-21,5.507,3.1705%,3.2738%,10,信号
1684,300132,诺斯贝尔,2021-12-03,11.766,2021-12-14,11.264,-4.3582%,-4.2625%,7,信号
1685,300132,诺斯贝尔,2025-05-19,6.043,2025-06-03,6.097,0.7916%,0.8924%,10,信号
1686,300133,华策影视,2025-08-20,9.164,2025-08-28,8.595,-6.3018%,-6.2080%,6,信号
1687,300140,节能环境,2024-09-26,5.043,2024-10-17,5.787,14.6514%,14.7661%,10,信号
1688,300143,盈康生命,2024-09-11,6.185,2024-09-18,5.601,-9.5309%,-9.4403%,3,信号
1689,300148,天舟文化,2021-09-09,4.202,2021-09-17,3.698,-12.0808%,-11.9928%,6,信号
1690,300154,瑞凌股份,2024-12-04,8.404,2024-12-18,8.496,0.9883%,1.0893%,10,信号
1691,300155,安居宝,2023-07-28,5.913,2023-08-03,5.457,-7.7988%,-7.7066%,4,信号
1692,300157,新锦动力,2025-06-17,4.982,2025-06-26,4.858,-2.6046%,-2.5072%,7,信号
1693,300160,秀强股份,2025-07-04,6.758,2025-07-14,6.122,-9.5076%,-9.4171%,6,信号
1694,300164,通源石油,2025-06-17,5.703,2025-06-25,5.697,-0.1998%,-0.1000%,6,信号
1695,300165,天瑞仪器,2022-12-13,6.223,2022-12-20,5.357,-13.9986%,-13.9125%,5,信号
1696,300166,东方国信,2022-01-19,12.816,2022-01-28,10.885,-15.1582%,-15.0733%,7,信号
1697,300166,东方国信,2025-08-08,12.026,2025-08-28,12.064,0.2153%,0.3156%,14,信号
1698,300172,中电环保,2023-08-25,7.124,2023-09-07,6.907,-3.1434%,-3.0464%,9,信号
1699,300175,朗源股份,2025-02-26,6.133,2025-03-03,5.817,-5.2468%,-5.1520%,3,信号
1700,300180,华峰超纤,2023-10-19,4.652,2023-11-03,4.708,1.0879%,1.1891%,11,信号
1701,300187,永清环保,2021-09-02,9.018,2021-09-13,8.449,-6.4007%,-6.3070%,7,信号
1702,300187,永清环保,2022-07-19,7.807,2022-07-28,7.089,-9.2807%,-9.1899%,7,信号
1703,300187,永清环保,2024-08-14,4.435,2024-08-21,4.171,-6.0532%,-5.9592%,5,信号
1704,300187,永清环保,2026-04-30,5.803,2026-05-21,5.877,1.1767%,1.2780%,12,信号
1705,300189,神农种业,2025-07-28,4.972,2025-07-30,4.758,-4.4167%,-4.3211%,2,信号
1706,300191,潜能恒信,2025-03-04,15.308,2025-03-27,18.351,19.7602%,19.8801%,17,信号
1707,300198,ST纳川,2023-07-13,2.911,2023-07-20,2.719,-6.7160%,-6.6226%,5,信号
1708,300209,行云科技,2025-09-17,6.533,2025-09-24,5.847,-10.5925%,-10.5030%,5,信号
1709,300213,佳讯飞鸿,2023-02-03,5.974,2023-02-15,5.948,-0.5341%,-0.4346%,8,信号
1710,300235,方直科技,2023-12-14,13.727,2023-12-21,12.454,-9.3651%,-9.2744%,5,信号
1711,300237,ST美晨,2025-08-15,2.791,2025-08-25,2.489,-10.9310%,-10.8419%,6,信号
1712,300238,冠昊生物,2026-01-07,17.119,2026-01-19,16.492,-3.7579%,-3.6616%,8,信号
1713,300241,瑞丰光电,2023-11-30,6.003,2023-12-04,5.637,-6.1878%,-6.0940%,2,信号
1714,300241,瑞丰光电,2026-03-09,6.683,2026-03-18,6.917,3.3858%,3.4893%,7,信号
1715,300250,初灵信息,2021-12-21,13.757,2021-12-27,12.284,-10.7968%,-10.7075%,4,信号
1716,300251,光线传媒,2025-06-18,20.72,2025-06-23,18.821,-9.2594%,-9.1686%,3,信号
1717,300252,金信诺,2024-07-26,6.873,2024-08-06,6.667,-3.1052%,-3.0082%,7,信号
1718,300254,仟源医药,2021-12-29,7.864,2022-01-06,8.006,1.7048%,1.8065%,5,信号
1719,300257,开山股份,2022-08-31,19.6,2022-09-16,19.18,-2.2376%,-2.1398%,11,信号
1720,300265,通光线缆,2024-08-09,7.074,2024-08-13,6.657,-5.9874%,-5.8933%,2,信号
1721,300265,通光线缆,2025-12-15,14.497,2025-12-24,12.264,-15.4901%,-15.4055%,7,信号
1722,300267,尔康制药,2024-08-12,2.471,2024-08-15,2.339,-5.4525%,-5.3578%,3,信号
