序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
16967,300374,中铁装配,2024-04-16,16.378,2024-04-18,17.891,9.1279%,9.2371%,2,止盈
16968,300374,中铁装配,2024-10-11,21.511,2024-10-15,18.721,-13.0578%,-12.9708%,2,止损
16969,300375,鹏翎股份,2023-07-28,4.931,2023-08-01,5.136,4.0522%,4.1563%,2,止盈
16970,300375,鹏翎股份,2023-10-27,6.442,2023-10-31,5.836,-9.4994%,-9.4089%,2,止损
16971,300376,易事特,2021-11-15,10.875,2021-11-23,11.644,6.9615%,7.0686%,6,到期
16972,300376,易事特,2024-10-09,3.739,2024-10-14,3.385,-9.5469%,-9.4564%,3,止损
16973,300377,赢时胜,2024-02-19,6.263,2024-02-21,5.837,-6.8957%,-6.8025%,2,止损
16974,300377,赢时胜,2024-07-26,5.703,2024-08-05,5.607,-1.7756%,-1.6773%,6,到期
16975,300377,赢时胜,2024-09-30,11.176,2024-10-09,13.993,25.0853%,25.2104%,2,止盈
16976,300377,赢时胜,2024-11-01,17.809,2024-11-05,19.49,9.3317%,9.4411%,2,止盈
16977,300377,赢时胜,2024-11-06,27.704,2024-11-08,32.784,18.2176%,18.3359%,2,止盈
16978,300377,赢时胜,2024-12-02,34.857,2024-12-10,38.781,11.1437%,11.2549%,6,到期
16979,300377,赢时胜,2025-12-08,19.81,2025-12-11,21.099,6.4031%,6.5096%,3,止盈
16980,300377,赢时胜,2026-06-15,15.108,2026-06-17,16.312,7.8635%,7.9714%,2,止盈
16981,300378,鼎捷数智,2022-08-09,21.144,2022-08-15,19.833,-6.2918%,-6.1980%,4,止损
16982,300378,鼎捷数智,2023-06-19,29.468,2023-06-21,34.466,16.8441%,16.9610%,2,止盈
16983,300378,鼎捷数智,2023-06-30,33.35,2023-07-10,31.726,-4.9633%,-4.8682%,6,到期
16984,300378,鼎捷数智,2025-01-27,34.343,2025-02-12,41.165,19.7451%,19.8649%,6,止盈
16985,300378,鼎捷数智,2025-03-07,45.369,2025-03-11,38.637,-14.9236%,-14.8384%,2,止损
16986,300378,鼎捷数智,2025-07-16,46.169,2025-07-24,46.053,-0.3512%,-0.2515%,6,到期
16987,300379,东通退,2024-08-20,9.205,2024-08-23,8.546,-7.2509%,-7.1581%,3,止损
16988,300379,东通退,2024-10-08,17.329,2024-10-11,15.322,-11.6665%,-11.5781%,3,止损
16989,300379,东通退,2024-11-11,21.011,2024-11-14,19.34,-8.0413%,-7.9492%,3,止损
16990,300379,东通退,2025-05-09,5.473,2025-05-19,5.397,-1.4770%,-1.3784%,6,到期
16991,300379,东通退,2025-09-24,2.501,2025-09-30,2.199,-12.1758%,-12.0880%,4,止损
16992,300379,东通退,2025-11-20,2.501,2025-11-24,2.919,16.5666%,16.6833%,2,止盈
16993,300380,安硕信息,2022-01-24,21.321,2022-01-28,17.771,-16.7317%,-16.6484%,4,止损
16994,300380,安硕信息,2022-11-16,19.03,2022-11-18,17.661,-7.2834%,-7.1906%,2,止损
16995,300380,安硕信息,2023-08-07,25.243,2023-08-09,29.265,15.8204%,15.9363%,2,止盈
16996,300380,安硕信息,2023-08-16,34.967,2023-08-21,31.834,-9.0519%,-8.9609%,3,止损
16997,300380,安硕信息,2024-07-23,17.879,2024-07-31,17.471,-2.3779%,-2.2802%,6,到期
16998,300380,安硕信息,2024-10-09,37.869,2024-10-17,40.989,8.1322%,8.2405%,6,到期
16999,300380,安硕信息,2024-11-08,60.69,2024-11-15,68.326,12.4685%,12.5811%,5,止盈
17000,300380,安硕信息,2025-01-15,52.876,2025-01-20,59.48,12.3767%,12.4892%,3,止盈
17001,300380,安硕信息,2025-03-17,54.797,2025-03-21,50.235,-8.4178%,-8.3262%,4,止损
17002,300381,溢多利,2024-05-06,7.748,2024-05-09,8.04,3.6664%,3.7701%,3,止盈
17003,300382,斯莱克,2024-09-05,7.144,2024-09-09,6.097,-14.7365%,-14.6512%,2,止损
17004,300382,斯莱克,2024-12-03,13.107,2024-12-09,12.274,-6.4469%,-6.3532%,4,止损
17005,300382,斯莱克,2025-02-07,12.296,2025-02-11,13.233,7.5146%,7.6222%,2,止盈
17006,300383,光环新网,2025-02-24,22.031,2025-03-03,19.65,-10.8959%,-10.8068%,5,止损
17007,300385,ST雪浪,2024-11-14,6.353,2024-11-18,5.677,-10.7299%,-10.6406%,2,止损
17008,300385,ST雪浪,2026-01-26,11.126,2026-01-28,9.945,-10.7004%,-10.6110%,2,止损
17009,300385,ST雪浪,2026-03-25,21.781,2026-03-27,16.452,-24.5424%,-24.4669%,2,止损
17010,300385,ST雪浪,2026-03-31,19.83,2026-04-02,18.651,-6.0408%,-5.9468%,2,止损
17011,300386,飞天诚信,2024-06-24,7.694,2024-06-26,11.154,44.8335%,44.9785%,2,止盈
17012,300386,飞天诚信,2024-06-27,13.267,2024-07-01,10.195,-23.2306%,-23.1538%,2,止损
17013,300386,飞天诚信,2024-09-06,9.905,2024-09-11,9.425,-4.9378%,-4.8427%,3,止损
17014,300386,飞天诚信,2024-10-08,16.818,2024-10-11,14.743,-12.4299%,-12.3423%,3,止损
17015,300386,飞天诚信,2024-11-15,19.8,2024-11-19,16.332,-17.5980%,-17.5156%,2,止损
17016,300386,飞天诚信,2025-04-11,15.108,2025-04-15,16.242,7.4009%,7.5083%,2,止盈
17017,300386,飞天诚信,2026-06-18,12.006,2026-06-26,11.294,-6.0215%,-5.9275%,5,止损
17018,300386,飞天诚信,2026-08-07,12.446,2026-08-11,11.594,-6.9387%,-6.8456%,2,止损
17019,300387,富邦科技,2022-01-21,7.714,2022-01-25,7.086,-8.2253%,-8.1334%,2,止损
17020,300387,富邦科技,2022-02-24,11.596,2022-02-28,10.525,-9.3274%,-9.2366%,2,止损
17021,300389,艾比森,2024-02-07,13.347,2024-02-19,15.642,17.0819%,17.1991%,2,止盈
17022,300389,艾比森,2025-08-29,15.628,2025-09-02,17.011,8.7451%,8.8540%,2,止盈
17023,300389,艾比森,2025-10-20,20.23,2025-10-22,19.0,-6.1720%,-6.0781%,2,止损
17024,300389,艾比森,2026-03-06,19.82,2026-03-16,18.691,-5.7919%,-5.6976%,6,到期
17025,300390,天华新能,2024-10-08,29.035,2024-10-10,25.197,-13.3025%,-13.2157%,2,止损
17026,300390,天华新能,2025-09-08,25.012,2025-09-10,22.789,-8.9822%,-8.8912%,2,止损
17027,300390,天华新能,2025-11-18,59.49,2025-11-24,50.975,-14.3994%,-14.3138%,4,止损
17028,300391,长药退,2024-07-03,3.102,2024-07-05,3.698,19.1163%,19.2355%,2,止盈
17029,300391,长药退,2024-07-08,4.592,2024-07-11,4.678,1.7570%,1.8589%,3,止盈
17030,300391,长药退,2024-09-10,4.442,2024-09-12,3.998,-10.0899%,-10.0000%,2,止损
17031,300391,长药退,2024-10-08,6.043,2024-10-10,5.247,-13.2532%,-13.1663%,2,止损
17032,300391,长药退,2024-10-23,6.463,2024-10-29,7.696,18.9569%,19.0759%,4,止盈
17033,300391,长药退,2024-11-13,7.944,2024-11-15,7.196,-9.5011%,-9.4105%,2,止损
17034,300391,长药退,2025-11-21,2.831,2025-11-27,2.419,-14.6585%,-14.5731%,4,止损
17035,300391,长药退,2025-12-04,2.571,2025-12-08,2.089,-18.8395%,-18.7583%,2,止损
17036,300391,长药退,2025-12-23,1.621,2025-12-25,1.409,-13.1369%,-13.0500%,2,止损
17037,300391,长药退,2026-01-21,0.59,2026-01-23,0.92,55.6206%,55.7763%,2,止盈
17038,300392,腾信退,2022-08-05,3.682,2022-08-10,4.088,10.9192%,11.0302%,3,止盈
17039,300392,腾信退,2023-04-14,2.521,2023-04-18,2.239,-11.2887%,-11.2000%,2,止损
17040,300393,中来股份,2021-11-12,19.832,2021-11-16,21.621,8.9132%,9.0222%,2,止盈
17041,300393,中来股份,2022-04-28,13.879,2022-05-05,14.725,5.9873%,6.0934%,2,止盈
17042,300393,中来股份,2025-11-12,8.634,2025-11-19,8.196,-5.1725%,-5.0776%,5,止损
17043,300393,中来股份,2026-02-05,10.235,2026-02-12,9.545,-6.8337%,-6.7404%,5,止损
17044,300394,天孚通信,2025-01-17,53.001,2025-01-23,58.338,9.9582%,10.0683%,4,止盈
17045,300394,天孚通信,2025-08-29,133.424,2025-09-02,154.78,15.8901%,16.0061%,2,止盈
