代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
600178,东安动力,2021-12-03,8.774,2021-12-14,8.616,56900,-9524.49,-1.9068%,7,信号
600356,恒丰纸业,2021-12-03,7.625,2021-12-08,6.758,65500,-57272.04,-11.4619%,3,信号
600830,香溢融通,2021-12-03,5.594,2021-12-13,5.228,89300,-33114.41,-6.6259%,6,信号
000672,上峰材料,2021-12-06,14.158,2021-12-15,13.752,30900,-12975.22,-2.9644%,7,信号
300406,九强生物,2021-12-06,15.619,2021-12-10,14.404,32000,-39360.71,-7.8713%,4,信号
000736,中交发展,2021-12-08,6.353,2021-12-20,5.907,78700,-35592.87,-7.1151%,8,信号
600638,新黄浦,2021-12-08,6.151,2021-12-14,5.275,63900,-56323.14,-14.3225%,4,信号
601600,中国铝业,2021-12-08,5.678,2021-12-16,5.372,88000,-27372.41,-5.4756%,6,信号
603496,恒为科技,2021-12-08,10.999,2021-12-21,11.095,45400,3854.69,0.7715%,9,信号
600771,广誉远,2021-12-09,33.957,2021-12-30,39.27,14700,77568.54,15.5318%,15,信号
000678,襄阳轴承,2021-12-10,4.822,2021-12-14,4.678,103600,-15488.2,-3.0986%,2,信号
002246,北化股份,2021-12-10,7.449,2021-12-27,7.581,67100,8385.49,1.6769%,11,信号
600588,用友网络,2021-12-10,36.658,2021-12-21,34.533,13600,-29392.19,-5.8926%,7,信号
603339,四方科技,2021-12-10,11.348,2021-12-24,12.226,44000,38122.75,7.6315%,10,信号
002084,海鸥住工,2021-12-13,4.694,2021-12-24,4.663,106500,-3872.02,-0.7741%,9,信号
601969,海南矿业,2021-12-13,13.902,2021-12-15,12.709,35900,-43317.31,-8.6751%,2,信号
603896,寿仙谷,2021-12-13,37.455,2022-01-11,43.192,13300,75774.77,15.2037%,20,信号
002691,ST冀凯,2021-12-14,5.488,2021-12-23,5.202,91100,-26481.87,-5.2944%,7,信号
002864,盘龙药业,2021-12-14,20.59,2021-12-31,22.377,24200,42713.79,8.5679%,13,信号
603598,引力传媒,2021-12-14,11.776,2021-12-27,10.445,42400,-56910.14,-11.3923%,9,信号
603778,国晟科技,2021-12-14,4.632,2021-12-24,4.628,107900,-999.15,-0.1998%,8,信号
003001,中岩大地,2021-12-15,14.486,2021-12-24,14.127,34500,-12889.65,-2.5778%,7,信号
600303,曙光股份,2021-12-15,4.492,2021-12-22,4.378,111300,-13230.23,-2.6448%,5,信号
603569,长久物流,2021-12-15,6.873,2021-12-24,6.447,72700,-31502.37,-6.3011%,7,信号
603660,苏州科达,2021-12-15,6.783,2021-12-24,6.657,73700,-9834.53,-1.9662%,7,信号
603813,原尚股份,2021-12-15,14.935,2021-12-29,16.92,33400,65736.03,13.1711%,10,信号
600391,航发科技,2021-12-16,23.982,2022-01-06,25.587,20600,32556.87,6.5868%,14,信号
300603,立昂技术,2021-12-20,11.005,2022-01-04,11.544,45400,23946.24,4.7902%,10,信号
601929,吉视传媒,2021-12-20,2.141,2021-12-29,2.149,233500,1333.29,0.2666%,7,信号
300250,初灵信息,2021-12-21,13.757,2021-12-27,12.284,36300,-53943.27,-10.7968%,4,信号
600844,金煤科技,2021-12-21,3.852,2021-12-27,3.748,129800,-13966.48,-2.7920%,4,信号
002503,ST搜特,2021-12-22,1.751,2021-12-27,1.589,285500,-46633.58,-9.3244%,3,信号
601099,太平洋,2021-12-23,3.402,2021-12-27,3.268,146900,-20076.83,-4.0157%,2,信号
000593,德龙汇能,2021-12-24,6.203,2022-01-06,6.357,80600,11883.67,2.3757%,8,信号
002109,ST兴化,2021-12-24,5.543,2022-01-06,5.547,90200,-98.32,-0.0197%,8,信号
002256,兆新股份,2021-12-24,4.072,2021-12-28,3.798,122700,-34094.66,-6.8205%,2,信号
002349,精华制药,2021-12-24,6.093,2022-01-26,15.592,82000,778041.61,155.6458%,22,信号
002750,龙津退,2021-12-24,9.175,2022-01-19,18.121,54400,485939.0,97.3149%,17,信号
600617,国新能源,2021-12-24,3.134,2021-12-28,2.96,159500,-28246.34,-5.6487%,2,信号
605007,五洲特纸,2021-12-24,20.85,2022-01-13,22.629,23900,41980.84,8.4202%,13,信号
002548,金新农,2021-12-27,5.933,2022-01-20,6.507,84200,47788.56,9.5614%,17,信号
000766,通化金马,2021-12-28,4.702,2022-01-10,4.588,106300,-12680.53,-2.5355%,8,信号
000908,石药景峰,2021-12-28,2.999,2022-01-10,2.887,166600,-19306.61,-3.8616%,8,信号
000976,ST华铁,2021-12-28,5.243,2022-01-12,5.377,95300,12329.92,2.4666%,10,信号
002786,银宝山新,2021-12-28,7.364,2021-12-30,6.837,45500,-24306.11,-7.2509%,2,信号
300026,红日药业,2021-12-28,6.043,2022-01-19,7.236,82700,98141.77,19.6281%,15,信号
