序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1996,600419,天润乳业,2026-08-05,8.734,2026-08-17,8.96,2.4807%,2.5833%,8,区间结束平仓
1997,600420,国药现代,2022-07-04,8.964,2022-07-07,8.566,-4.5438%,-4.4483%,3,信号
1998,600420,国药现代,2024-07-18,11.766,2024-07-24,11.474,-2.5760%,-2.4785%,4,信号
1999,600422,昆药集团,2025-02-20,16.828,2025-02-24,16.672,-1.0305%,-0.9315%,2,信号
2000,600423,ST柳化,2021-09-13,4.062,2021-09-27,3.988,-1.9205%,-1.8224%,8,信号
2001,600423,ST柳化,2025-03-17,3.492,2025-03-20,3.378,-3.3454%,-3.2487%,3,信号
2002,600423,ST柳化,2025-07-10,3.712,2025-07-16,3.538,-4.7729%,-4.6776%,4,信号
2003,600425,青松建化,2025-07-28,4.202,2025-07-31,4.058,-3.5265%,-3.4300%,3,信号
2004,600429,三元股份,2022-12-08,5.284,2022-12-16,5.228,-1.1447%,-1.0458%,6,信号
2005,600429,三元股份,2025-03-20,4.46,2025-03-24,4.396,-1.5430%,-1.4445%,2,信号
2006,600429,三元股份,2026-08-04,4.602,2026-08-10,4.458,-3.2372%,-3.1404%,4,信号
2007,600433,冠豪高新,2026-03-16,3.682,2026-03-23,3.408,-7.5221%,-7.4296%,5,信号
2008,600435,北方导航,2021-09-02,8.894,2021-09-13,8.976,0.8105%,0.9114%,7,信号
2009,600435,北方导航,2022-12-14,10.65,2022-12-19,10.45,-1.9811%,-1.8830%,3,信号
2010,600435,北方导航,2026-03-04,17.194,2026-03-10,17.126,-0.4902%,-0.3906%,4,信号
2011,600439,ST瑞贝卡,2025-11-07,3.082,2025-11-19,3.148,2.0684%,2.1705%,8,信号
2012,600449,宁夏建材,2026-05-19,14.597,2026-05-22,13.813,-5.4669%,-5.3723%,3,信号
2013,600456,宝钛股份,2024-10-11,30.825,2024-10-18,30.185,-2.1757%,-2.0778%,5,信号
2014,600456,宝钛股份,2025-03-20,33.147,2025-03-27,34.343,3.5054%,3.6090%,5,信号
2015,600463,空港股份,2023-07-11,9.565,2023-07-14,9.295,-2.9141%,-2.8169%,3,信号
2016,600467,好当家,2024-09-13,1.556,2024-09-19,1.524,-2.1252%,-2.0273%,2,信号
2017,600467,好当家,2025-03-25,2.516,2025-03-27,2.394,-4.9617%,-4.8666%,2,信号
2018,600469,风神股份,2021-12-13,4.082,2021-12-24,4.118,0.7786%,0.8795%,9,信号
2019,600470,六国化工,2025-03-06,5.863,2025-03-19,6.037,2.8657%,2.9687%,9,信号
2020,600475,华光环能,2025-06-20,10.282,2025-06-24,9.972,-3.1131%,-3.0162%,2,信号
2021,600476,ST湘邮,2021-12-06,11.306,2021-12-24,12.424,9.7802%,9.8901%,14,信号
2022,600477,杭萧钢构,2025-11-17,3.026,2025-11-19,2.883,-4.8202%,-4.7250%,2,信号
2023,600478,科力远,2025-06-23,5.413,2025-07-03,5.807,7.1791%,7.2864%,8,信号
2024,600479,千金药业,2021-12-02,8.224,2021-12-15,8.666,5.2637%,5.3690%,9,信号
2025,600481,双良节能,2025-07-14,5.673,2025-07-16,5.447,-4.0721%,-3.9761%,2,信号
2026,600481,双良节能,2026-01-06,6.403,2026-01-21,6.997,9.1564%,9.2657%,11,信号
2027,600482,中国动力,2022-08-30,16.713,2022-09-01,15.537,-7.1300%,-7.0370%,2,信号
2028,600482,中国动力,2023-05-11,17.694,2023-05-15,16.937,-4.3758%,-4.2801%,2,信号
2029,600488,津药药业,2022-03-15,4.341,2022-03-30,4.617,6.2404%,6.3467%,11,信号
2030,600488,津药药业,2023-05-09,4.935,2023-05-19,5.36,8.4996%,8.6081%,8,信号
2031,600491,ST龙元,2021-09-09,6.261,2021-09-17,6.255,-0.1998%,-0.1000%,6,信号
2032,600495,晋西车轴,2025-08-15,5.775,2025-08-25,5.839,1.0105%,1.1116%,6,信号
2033,600496,精工钢构,2025-10-22,4.072,2025-10-28,3.948,-3.1423%,-3.0454%,4,信号
2034,600497,驰宏锌锗,2022-06-14,5.054,2022-06-20,4.949,-2.1757%,-2.0778%,4,信号
2035,600500,中化国际,2025-05-16,3.952,2025-05-23,3.848,-2.7264%,-2.6291%,5,信号
2036,600500,中化国际,2025-08-01,4.052,2025-08-05,4.008,-1.1855%,-1.0866%,2,信号
2037,600501,航天晨光,2022-08-03,12.376,2022-08-15,12.204,-1.4907%,-1.3921%,8,信号
2038,600501,航天晨光,2024-10-10,18.009,2024-10-14,16.802,-6.7977%,-6.7045%,2,信号
2039,600501,航天晨光,2025-08-08,23.692,2025-08-18,24.528,3.4247%,3.5282%,6,信号
2040,600503,华丽家族,2022-07-01,3.143,2022-07-07,3.049,-3.0594%,-2.9624%,4,信号
2041,600505,西昌电力,2023-06-06,8.989,2023-06-08,8.411,-6.5311%,-6.4375%,2,信号
2042,600508,上海能源,2024-11-22,9.926,2024-11-26,9.224,-7.1610%,-7.0681%,2,信号
2043,600508,上海能源,2025-10-27,9.462,2025-11-05,9.381,-0.9491%,-0.8500%,7,信号
2044,600509,天富能源,2023-01-13,5.226,2023-01-18,5.2,-0.5820%,-0.4825%,3,信号
2045,600509,天富能源,2023-06-01,7.067,2023-06-07,6.9,-2.4606%,-2.3630%,4,信号
2046,600513,联环药业,2024-11-13,10.846,2024-11-15,10.216,-5.9074%,-5.8133%,2,信号
2047,600516,方大炭素,2025-02-18,5.116,2025-02-26,5.03,-1.7613%,-1.6630%,6,信号
2048,600516,方大炭素,2025-09-11,5.306,2025-09-19,5.19,-2.2700%,-2.1722%,6,信号
2049,600517,国网英大,2021-12-02,7.001,2021-12-08,6.835,-2.4816%,-2.3840%,4,信号
2050,600517,国网英大,2022-07-12,5.657,2022-07-18,5.511,-2.6710%,-2.5736%,4,信号
2051,600518,康美药业,2025-07-15,2.081,2025-07-30,2.099,0.7598%,0.8606%,11,信号
2052,600520,三佳科技,2023-07-05,15.518,2023-07-07,15.172,-2.3232%,-2.2255%,2,信号
2053,600520,三佳科技,2026-01-22,29.685,2026-01-27,27.636,-6.9944%,-6.9014%,3,信号
2054,600523,贵航股份,2022-07-13,25.435,2022-07-20,25.209,-0.9850%,-0.8859%,5,信号
