买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2022-07-21,603005,晶方科技,0.1802%,0.3805%,-2.5188%,0.4186%,1328892788
2022-07-22,603069,海汽集团,-0.9890%,-0.7899%,4.5662%,10.0158%,893344412
2022-07-25,000631,顺发恒能,-3.9505%,-3.7543%,-9.4058%,0.5119%,1105518307
2022-07-26,300745,欣锐科技,-2.0449%,-1.8468%,-0.0552%,3.5850%,659340814
2022-07-27,300393,中来股份,2.2219%,2.4243%,3.8168%,7.9234%,1416892229
2022-07-28,600330,天通股份,-1.0285%,-0.8294%,-4.1357%,-0.3456%,923585854
2022-07-29,603396,金辰股份,1.4137%,1.6153%,9.8485%,10.0585%,1548815998
2022-08-01,600477,杭萧钢构,-3.1561%,-2.9591%,-8.0829%,-1.6439%,1340009740
2022-08-02,300115,长盈精密,-0.2000%,0.0000%,-6.1511%,2.3034%,1409754299
2022-08-03,002151,北斗星通,-0.1708%,0.0291%,-4.3927%,0.0291%,1016250323
2022-08-04,300648,星云股份,1.4601%,1.6618%,-4.9071%,2.5242%,605492008
2022-08-05,300623,捷捷微电,-0.1594%,0.0406%,-1.4164%,1.6236%,945388035
2022-08-08,002517,恺英网络,-0.2000%,0.0000%,-6.1868%,0.4859%,873684961
2022-08-09,002121,科陆电子,-2.1125%,-1.9144%,0.1376%,2.2523%,1038327334
2022-08-10,603398,ST沐邦,1.5373%,1.7389%,3.4504%,4.2703%,1148518168
2022-08-11,002273,水晶光电,-0.5758%,-0.3763%,-3.5828%,-0.0753%,921135739
2022-08-12,600277,ST亿利,1.1508%,1.3521%,2.1157%,3.6701%,1532420991
2022-08-15,002139,拓邦股份,-0.9024%,-0.7032%,-0.7108%,0.8310%,1094596252
2022-08-16,000059,华锦股份,1.9789%,2.1810%,-1.9703%,2.4537%,1105706960
2022-08-17,300088,长信科技,-1.1079%,-0.9089%,5.2477%,6.6217%,1388352392
2022-08-18,002139,拓邦股份,-0.3853%,-0.1855%,-10.3302%,0.5565%,1172039407
2022-08-19,601222,林洋能源,-0.3124%,-0.1126%,-0.7624%,4.2788%,920273089
2022-08-22,600996,贵广网络,0.0945%,0.2947%,3.3329%,7.5639%,696793650
2022-08-23,605090,九丰能源,0.2568%,0.4572%,-4.6841%,2.0781%,887067186
2022-08-24,300094,国联水产,2.3710%,2.5735%,-0.9345%,3.3088%,535458654
2022-08-25,600740,山西焦化,-0.3489%,-0.1491%,-4.5208%,-0.1491%,884675723
2022-08-26,002434,万里扬,-5.1146%,-4.9196%,3.9586%,8.1362%,771955914
2022-08-29,002434,万里扬,-0.7444%,-0.5450%,-2.1054%,0.4541%,1112923660
2022-08-30,000811,冰轮环境,-0.6829%,-0.4834%,-2.6148%,3.2370%,790649932
2022-08-31,000595,新能股份,-1.7941%,-1.5957%,9.7635%,9.9734%,772131338
2022-09-01,300339,润和软件,-1.6373%,-1.4388%,-0.2513%,0.4111%,1050047288
2022-09-02,002079,苏州固锝,-0.8526%,-0.6533%,2.4105%,3.9922%,766619391
2022-09-05,600121,郑州煤电,-0.2000%,0.0000%,1.0547%,3.6107%,717547866
2022-09-06,002307,北新路桥,-4.3317%,-4.1359%,-1.3805%,-0.2954%,898664913
2022-09-07,002079,苏州固锝,-1.8302%,-1.6319%,-3.5963%,-0.2040%,1004778372
2022-09-08,300481,濮阳惠成,-0.3685%,-0.1687%,-2.9445%,0.5543%,603641046
2022-09-09,000671,ST阳光城,-1.9298%,-1.7316%,-3.6597%,-0.8658%,704363729
2022-09-13,600127,金健米业,-2.3956%,-2.1978%,-2.1760%,0.3297%,549902331
